Adam Larsson,23,114,3
Scott Laughton,53,58,1
Anders Lee,73,61,0
Artturi Lehkonen,49,58,1
Brendan Lemieux,46,56,1
Kris Letang,53,82,3
Oscar Lindberg,39,46,1
Oskar Lindblom,59,35,0
Esa Lindell,32,106,3
Elias Lindholm,95,55,0
Hampus Lindholm,28,69,3
Bryan Little,63,24,0
Adam Lowry,38,94,1
Milan Lucic,37,89,1
Olli Maatta,18,75,3
Nathan MacKinnon,109,38,0
Evgeni Malkin,94,16,0
Josh Manson,18,87,3
Anthony Mantha,66,26,0
Brad Marchand,125,29,0
Jon Marchessault,79,41,0
Patrick Marleau,55,35,0
Mitch Marner,116,35,0
Pat Maroon,48,46,0
Matt Martin,30,108,1
Alec Martinez,21,70,3
Jordan Martinook,42,82,1
Auston Matthews,96,25,0
Scott Mayfield,25,101,3
Charlie McAvoy,31,68,3
Jared McCann,59,42,0
Connor McDavid,124,24,0
Ryan McDonagh,51,105,3
Brock McGinn,44,63,1
Brayden McNabb,20,118,3
Timo Meier,95,51,0
Colin Miller,36,62,3
J.T. Miller,78,50,0
Sean Monahan,105,23,0
Brandon Montour,38,63,3
Josh Morrissey,34,58,3
Tyler Motte,31,78,1
Connor Murphy,16,76,3
Jake Muzzin,42,112,3
Tyler Myers,37,71,3
Vladislav Namestnikov,48,64,1
Brock Nelson,72,45,0
Patrik Nemeth,15,92,3
Nino Niederreiter,80,36,0
Frans Nielsen,51,37,0
Matt Niskanen,28,100,3
Ryan Nugent-Hopkins,84,30,0
Darnell Nurse,42,100,3
Gustav Nyquist,84,20,0
Ryan O'Reilly,91,33,0
Jordan Oesterle,26,64,3
Jamie Oleksiak,20,67,3
Dmitry Orlov,33,81,3
Brooks Orpik,14,74,3
T.J. Oshie,71,65,0
Alex Ovechkin,104,91,0
Max Pacioretty,58,40,0
Ondrej Palat,56,48,0
Kyle Palmieri,67,40,0
Artemi Panarin,107,17,0
Richard Panik,49,61,1
Cedric Paquette,35,113,1
Colton Parayko,30,105,3
Zach Parise,80,39,0
David Pastrnak,106,30,0
Greg Pateryn,10,82,3
Joe Pavelski,82,41,0
Tanner Pearson,47,49,1
Adam Pelech,28,99,3
Mathieu Perreault,60,50,0
David Perron,66,23,0
Brett Pesce,35,79,3
Jeff Petry,49,102,3
Elias Pettersson,89,32,0
Marcus Pettersson,37,78,3
Alex Pietrangelo,42,68,3
Neal Pionk,30,71,3
Brayden Point,119,38,0
Roman Polak,11,117,3
Ivan Provorov,25,83,3
Ryan Pulock,40,107,3
Mark Pysyk,15,73,3
Alexander Radulov,89,59,0
Rickard Rakell,57,33,0
Mikko Rantanen,102,40,0
Ryan Reaves,45,110,1
Sam Reinhart,84,23,0
Morgan Rielly,76,70,2
Rasmus Ristolainen,43,98,3
Nick Ritchie,50,54,1
Antoine Roussel,55,48,0
Carter Rowney,39,71,1
Kris Russell,19,95,3
Bryan Rust,54,64,1
Bobby Ryan,65,27,0
Derek Ryan,67,23,0
Brandon Saad,65,21,0
Travis Sanheim,44,57,2
David Savard,30,91,3
Mark Scheifele,94,40,0
Brayden Schenn,71,49,0
Nate Schmidt,33,57,3
Brent Seabrook,36,98,3
Tyler Seguin,94,49,0
Mikhail Sergachev,44,69,3
Damon Severson,43,43,2
Kevin Shattenkirk,36,51,3
Andrew Shaw,72,63,0
Devin Shore,50,47,0
Wayne Simmonds,47,47,1
Dominik Simon,51,40,0
Colton Sissons,46,64,1
Jeff Skinner,83,18,0
Brady Skjei,29,97,3
Jaccob Slavin,33,68,3
Craig Smith,61,42,0
Reilly Smith,71,30,0
Zack Smith,42,51,1
Carl Soderberg,69,53,0
Marcus Sorensen,57,44,0
Jared Spurgeon,44,78,3
Eric Staal,70,19,0
Jordan Staal,37,50,1
Steven Stamkos,131,39,0
Troy Stecher,28,67,3
Mark Stone,90,56,0
Dylan Strome,86,16,0
Ryan Strome,55,36,0
Oskar Sundqvist,55,43,0
Ryan Suter,43,58,3
Andrei Svechnikov,62,50,0
Brandon Tanev,50,124,1
Vladimir Tarasenko,90,47,0
Tomas Tatar,86,46,0
John Tavares,113,47,0
Teuvo Teravainen,104,34,0
Joe Thornton,80,14,0
Chris Tierney,69,17,0
Brady Tkachuk,69,62,0
Matthew Tkachuk,107,46,0
Jonathan Toews,94,30,0
Vincent Trocheck,42,47,1
Jacob Trouba,53,98,3
Alex Tuch,76,50,0
Frank Vatrano,65,66,1
Jimmy Vesey,53,35,0
Jake Virtanen,41,62,1
Jakub Voracek,86,7,0
Jakub Vrana,82,36,0
Austin Wagner,57,51,0
Chris Wagner,35,96,1
Shea Weber,34,87,3
MacKenzie Weegar,22,75,3
Zach Werenski,47,46,2
Blake Wheeler,107,45,0
Justin Williams,74,27,0
Tom Wilson,54,89,1
Keith Yandle,67,32,2
Nikita Zadorov,20,108,3
Nikita Zaitsev,17,98,3
Mika Zibanejad,88,61,0
Jason Zucker,60,37,0
